L,margin_rho_over_chi,discount_tau_over_rho,beta_concentration,key,seed,waste_base,waste_tgtg,delta_waste,profit_base,profit_tgtg,delta_profit,prod_base,prod_tgtg,delta_prod,b_star,waste_base_per_day,waste_tgtg_per_day,delta_waste_per_day,prod_base_per_day,prod_tgtg_per_day,delta_prod_per_day
3,1.6,0.5,5.0,L=3|m=1.6|d=0.5|c=5.0,2273,223.7,223.4,-0.2999999999999829,46.86933333333332,46.885333333333314,0.0159999999999982,2940.0,2940.0,0.0,0.0,7.456666666666666,7.446666666666667,-0.0099999999999994,98.0,98.0,0.0
3,1.6,0.5,10.0,L=3|m=1.6|d=0.5|c=10.0,2286,173.25,133.8,-39.44999999999999,65.76000000000002,62.463999999999984,-3.296000000000035,3750.0,3480.0,-270.0,0.0085951871597339,5.775,4.46,-1.3149999999999995,125.0,116.0,-9.0
3,1.6,0.5,20.0,L=3|m=1.6|d=0.5|c=20.0,2299,276.9,209.5,-67.39999999999998,86.63200000000005,84.82666666666668,-1.8053333333333652,5070.0,4800.0,-270.0,0.0,9.23,6.983333333333333,-2.2466666666666657,169.0,160.0,-9.0
3,1.6,0.5,50.0,L=3|m=1.6|d=0.5|c=50.0,2312,180.45,131.75,-48.69999999999999,98.97599999999998,97.97333333333331,-1.0026666666666555,5430.0,5250.0,-180.0,0.0032869571749918,6.015,4.391666666666667,-1.6233333333333329,181.0,175.0,-6.0
3,1.6,0.5,100.0,L=3|m=1.6|d=0.5|c=100.0,2325,159.55,148.5,-11.050000000000011,103.09066666666664,103.08,-0.010666666666637,5580.0,5550.0,-30.0,0.0,5.318333333333333,4.95,-0.3683333333333337,186.0,185.0,-1.0
3,1.6,0.7,3.0,L=3|m=1.6|d=0.7|c=3.0,2338,525.6,185.9,-339.70000000000005,38.568000000000005,67.96533333333336,29.39733333333336,3330.0,11550.0,8220.0,0.8306579219850422,17.52,6.196666666666667,-11.323333333333334,111.0,385.0,274.0
3,1.6,0.7,5.0,L=3|m=1.6|d=0.7|c=5.0,2351,218.35,277.8,59.45000000000002,42.954666666666654,83.82399999999994,40.86933333333329,2730.0,12540.0,9810.0,0.7606555270294046,7.278333333333333,9.26,1.9816666666666671,91.0,418.0,327.0
3,1.6,0.7,10.0,L=3|m=1.6|d=0.7|c=10.0,2364,252.2,147.85,-104.35,69.3493333333333,100.59466666666668,31.245333333333377,4140.0,12600.0,8460.0,0.7142602671924605,8.406666666666666,4.928333333333333,-3.478333333333333,138.0,420.0,282.0
3,1.6,0.7,20.0,L=3|m=1.6|d=0.7|c=20.0,2377,270.35,284.85,14.5,85.78133333333332,116.32799999999996,30.546666666666653,5010.0,12600.0,7590.0,0.5992963308166974,9.011666666666668,9.495,0.4833333333333333,167.0,420.0,253.0
3,1.6,0.7,50.0,L=3|m=1.6|d=0.7|c=50.0,2390,167.85,166.0,-1.8499999999999943,96.64799999999998,126.02666666666671,29.37866666666673,5280.0,12600.0,7320.0,0.5817836761812536,5.595,5.533333333333333,-0.0616666666666664,176.0,420.0,244.0
3,1.6,0.7,100.0,L=3|m=1.6|d=0.7|c=100.0,2403,94.55,74.7,-19.849999999999994,102.95733333333332,131.3759999999998,28.41866666666648,5400.0,12600.0,7200.0,0.5789354338977768,3.1516666666666664,2.49,-0.6616666666666665,180.0,420.0,240.0
3,2.0,0.15,3.0,L=3|m=2.0|d=0.15|c=3.0,2416,399.45,546.7,147.25000000000006,76.36999999999999,80.55333333333334,4.183333333333351,3090.0,3510.0,420.0,0.0,13.315,18.223333333333336,4.908333333333335,103.0,117.0,14.0
3,2.0,0.15,5.0,L=3|m=2.0|d=0.15|c=5.0,2429,402.45,391.75,-10.699999999999989,99.17,98.88333333333333,-0.2866666666666759,3780.0,3750.0,-30.0,0.0,13.415,13.058333333333334,-0.3566666666666663,126.0,125.0,-1.0
3,2.0,0.15,10.0,L=3|m=2.0|d=0.15|c=10.0,2442,392.75,449.55,56.80000000000001,134.81666666666666,137.03,2.2133333333333383,4830.0,5010.0,180.0,0.0,13.091666666666669,14.985,1.8933333333333335,161.0,167.0,6.0
